Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,BenefProject,HhTypeControl,female
lac_tele,160,2015,.5929694771766663,123000,epena,1.353960037231445,17.45159912109375,1.353627114486638,17.4492825207817,,agriculture,business,fishing,,female,72,Bambomba,0,3,,,,1
lac_tele,5487,2018,.291626363992691,2442437.5,epena,1.354041695594788,17.45161247253418,1.353627114486638,17.4492825207817,1950,agriculture,fishing,,,female,75,bambomba,0,1,1,1,0,1
ituri,797,2015,.7948225736618042,,lolwa,1.35407,29.50078,1.3494548,29.492378,,agriculture,,,,man,53,bantou,0,7,,,0,0
ituri,3431,2019,.2519269287586212,41.38752746582031,bandisende,1.354077,28.754842,1.3578314,28.753626,1957,hunt,,,,man,64,pygmy,1,2,0,1,0,0
ituri,1886,2017,.7831089496612549,1605.210571289063,lolwa,1.354102,29.500733,1.3494548,29.492378,2009,agriculture,official,,,man,54,bantou,0,6,1,0,0,0
lac_tele,5485,2018,.2763189971446991,2792500,epena,1.3541100025177,17.45075225830078,1.353627114486638,17.4492825207817,1962,fishing,agriculture,,,male,56,bambomba,0,6,1,1,0,0
lac_tele,6211,2021,.6246469616889954,575500,epena,1.354113340377808,17.45078086853027,1.353627114486638,17.4492825207817,2021,church,fishing,,,male,49,babole,0,4,1,1,0,0
ituri,4568,2021,.6063365340232849,1310.002319335938,bandisende,1.354137,28.754842,1.3578314,28.753626,1974,agriculture,,,,man,47,bantou,0,10,1,1,0,0
ituri,636,2015,.3780717849731445,,masiliko,1.35414,29.23202,1.352186,29.238846,,agriculture,,,,woman,68,bantou,0,6,,,0,1
ituri,3430,2019,.5645925998687744,1186.79541015625,bandisende,1.354172,28.754825,1.3578314,28.753626,1974,agriculture,smallbusiness,,,man,45,bantou,0,12,0,1,0,0
ituri,633,2015,.501851499080658,,masiliko,1.35423,29.23308,1.352186,29.238846,,agriculture,,,,man,72,bantou,0,11,,,0,0
ituri,322,2015,.8731906414031982,,bandisende,1.3543,28.75466,1.3578314,28.753626,,official,,,,man,41,bantou,0,8,,,0,0
ituri,341,2015,.6167441010475159,,bandisende,1.35431,28.754,1.3578314,28.753626,,agriculture,,,,man,43,bantou,0,4,,,0,0
ituri,313,2015,.5737561583518982,,bandisende,1.3549,28.75341,1.3578314,28.753626,,agriculture,,,,man,31,bantou,0,3,,,0,0
ituri,672,2015,.2329159080982208,,masiliko,1.35491,29.23328,1.352186,29.238846,,agriculture,,,,man,,autochtones,1,5,,,0,0
lac_tele,6230,2021,.5758715867996216,293150,epena,1.354914903640747,17.44848251342773,1.353627114486638,17.4492825207817,1998,agriculture,smallbusiness,fishing,livestock,female,75,bambomba,0,3,0,0,1,1
ituri,1278,2015,.5241365432739258,,mandima,1.35496,29.07299,1.3497698,29.074991,,agriculture,,,,man,41,bantou,0,6,,,1,0
lac_tele,6221,2021,.5238751769065857,465250,epena,1.355059862136841,17.44824600219727,1.353627114486638,17.4492825207817,2006,agriculture,hunt,fishing,,male,51,autochtone,1,6,1,1,0,0
lac_tele,6231,2021,.6246469616889954,259020,epena,1.355110645294189,17.45013618469238,1.353627114486638,17.4492825207817,1997,agriculture,fishing,smallbusiness,livestock,female,54,bambomba,0,3,0,0,0,1
ituri,1282,2015,.4532081186771393,,mandima,1.35528,29.07492,1.3497698,29.074991,,agriculture,,,,man,33,bantou,0,4,,,1,0
ituri,4570,2021,.569681704044342,361.1269226074219,bandisende,1.355285,28.754231,1.3578314,28.753626,1976,agriculture,,,,woman,45,bantou,0,6,1,1,0,1
ituri,307,2015,.7161853313446045,,bandisende,1.35533,28.7541,1.3578314,28.753626,,agriculture,,,,man,43,bantou,0,7,,,0,0
ituri,335,2015,.8186225295066833,,bandisende,1.35535,28.75363,1.3578314,28.753626,,agriculture,,,,man,56,bantou,0,9,,,0,0
ituri,4569,2021,.6336541771888733,361.1269226074219,bandisende,1.355452,28.754168,1.3578314,28.753626,2006,agriculture,,,,man,48,bantou,0,6,1,1,0,0
ituri,1317,2015,.438295304775238,,mandima,1.35546,29.07382,1.3497698,29.074991,,agriculture,,,,man,47,bantou,0,5,,,1,0
lac_tele,6212,2021,.5197338461875916,462370,epena,1.355465054512024,17.45108413696289,1.353627114486638,17.4492825207817,2003,smallbusiness,withoutactivity,,,male,45,moye,0,11,1,0,0,0
lac_tele,6225,2021,.4606052041053772,126280,epena,1.355474829673767,17.45287895202637,1.353627114486638,17.4492825207817,1991,smallbusiness,livestock,,,female,60,bambomba,0,2,1,1,0,1
ituri,3478,2019,.5207527279853821,1113.755737304688,bandisende,1.355522,28.753607,1.3578314,28.753626,1984,agriculture,,,,woman,48,bantou,0,7,1,0,1,1
ituri,3477,2019,.4662387073040009,140.8963012695313,bandisende,1.355548,28.754113,1.3578314,28.753626,2014,agriculture,,,,man,49,bantou,0,8,1,0,1,0
ituri,3466,2019,.5507330894470215,277.1763610839844,bandisende,1.355558,28.754233,1.3578314,28.753626,1976,agriculture,,,,woman,43,bantou,0,6,0,1,0,1
ituri,3484,2019,.5262479186058044,287.7105712890625,bandisende,1.355565,28.754912,1.3578314,28.753626,1986,agriculture,,,,woman,52,bantou,0,9,0,0,1,1
lac_tele,6219,2021,.59749835729599,719200,epena,1.355613946914673,17.45119476318359,1.353627114486638,17.4492825207817,1963,agriculture,sewing,,,female,58,bambomba,0,5,1,0,0,1
lac_tele,6226,2021,.6191251277923584,358640,epena,1.355758905410767,17.45224761962891,1.353627114486638,17.4492825207817,2012,smallbusiness,agriculture,livestock,fishing,female,39,bambomba,0,7,1,1,0,1
lac_tele,6210,2021,.5800128579139709,319820,epena,1.355759143829346,17.45424270629883,1.353627114486638,17.4492825207817,1976,hunt,fishing,agriculture,,male,45,bambomba,0,10,0,0,1,0
lac_tele,6207,2021,.7064377069473267,1484320,epena,1.355759143829346,17.45424270629883,1.353627114486638,17.4492825207817,1973,agriculture,livestock,smallbusiness,withoutactivity,female,48,bambomba,0,15,1,1,0,1
