landscape,surveyyear,id,nr,nrcollect
lac_tele,2018,5505,firewood,2
lac_tele,2018,5506,firewood,7
lac_tele,2018,5506,gnetum,3
lac_tele,2018,5506,marantacea,2
lac_tele,2018,5506,bushmeat,0
lac_tele,2018,5506,fish,7
lac_tele,2018,5507,marantacea,3
lac_tele,2018,5507,bushmeat,0
lac_tele,2018,5507,firewood,5
lac_tele,2018,5507,gnetum,4
lac_tele,2018,5507,fish,3
lac_tele,2018,5508,fish,5
lac_tele,2018,5508,gnetum,5
lac_tele,2018,5508,bushmeat,0
lac_tele,2018,5508,firewood,6
lac_tele,2018,5508,marantacea,4
lac_tele,2018,5509,bushmeat,0
lac_tele,2018,5509,firewood,2
lac_tele,2018,5509,gnetum,0
lac_tele,2018,5509,marantacea,1
lac_tele,2018,5509,fish,3
lac_tele,2018,5510,gnetum,4
lac_tele,2018,5510,firewood,6
lac_tele,2018,5510,bushmeat,0
lac_tele,2018,5510,marantacea,5
lac_tele,2018,5510,fish,4
lac_tele,2018,5511,fish,4
lac_tele,2018,5511,bushmeat,0
lac_tele,2018,5511,firewood,3
lac_tele,2018,5511,gnetum,5
lac_tele,2018,5511,marantacea,3
lac_tele,2018,5512,bushmeat,0
lac_tele,2018,5512,fish,2
lac_tele,2018,5512,marantacea,4
lac_tele,2018,5512,gnetum,5
lac_tele,2018,5512,firewood,5
lac_tele,2018,5513,bushmeat,0
lac_tele,2018,5513,fish,7
lac_tele,2018,5513,firewood,5
lac_tele,2018,5513,marantacea,3
lac_tele,2018,5513,gnetum,4
lac_tele,2018,5514,marantacea,5
lac_tele,2018,5514,bushmeat,0
lac_tele,2018,5514,fish,3
lac_tele,2018,5514,firewood,4
lac_tele,2018,5514,gnetum,4
lac_tele,2018,5515,marantacea,4
lac_tele,2018,5515,bushmeat,0
lac_tele,2018,5515,gnetum,3
lac_tele,2018,5515,firewood,3
lac_tele,2018,5515,fish,2
lac_tele,2018,5516,fish,5
lac_tele,2018,5516,firewood,3
lac_tele,2018,5516,bushmeat,4
lac_tele,2018,5516,marantacea,4
lac_tele,2018,5516,gnetum,7
lac_tele,2018,5517,fish,0
lac_tele,2018,5517,bushmeat,1
lac_tele,2018,5517,marantacea,3
lac_tele,2018,5517,gnetum,4
lac_tele,2018,5517,firewood,4
lac_tele,2018,5518,gnetum,2
lac_tele,2018,5518,bushmeat,0
lac_tele,2018,5518,firewood,3
lac_tele,2018,5518,fish,4
lac_tele,2018,5518,marantacea,0
lac_tele,2018,5519,firewood,3
lac_tele,2018,5519,marantacea,2
lac_tele,2018,5519,fish,2
lac_tele,2018,5519,bushmeat,3
lac_tele,2018,5519,gnetum,4
lac_tele,2018,5520,gnetum,4
lac_tele,2018,5520,fish,2
lac_tele,2018,5520,bushmeat,3
lac_tele,2018,5520,marantacea,3
lac_tele,2018,5520,firewood,3
lac_tele,2018,5521,bushmeat,0
lac_tele,2018,5521,firewood,2
lac_tele,2018,5521,gnetum,0
lac_tele,2018,5521,fish,7
lac_tele,2018,5521,marantacea,0
lac_tele,2018,5522,bushmeat,0
lac_tele,2018,5522,marantacea,0
lac_tele,2018,5522,gnetum,2
lac_tele,2018,5522,firewood,3
lac_tele,2018,5522,fish,7
lac_tele,2018,5523,bushmeat,0
lac_tele,2018,5523,marantacea,0
lac_tele,2018,5523,firewood,3
lac_tele,2018,5523,fish,7
lac_tele,2018,5523,gnetum,2
lac_tele,2018,5524,marantacea,3
lac_tele,2018,5524,firewood,3
lac_tele,2018,5524,fish,7
lac_tele,2018,5524,bushmeat,0
lac_tele,2018,5524,gnetum,2
lac_tele,2018,5525,bushmeat,0
lac_tele,2018,5525,marantacea,4
lac_tele,2018,5525,fish,0
lac_tele,2018,5525,gnetum,6
lac_tele,2018,5525,firewood,7
lac_tele,2018,5526,fish,2
lac_tele,2018,5526,marantacea,5
lac_tele,2018,5526,gnetum,3
lac_tele,2018,5526,bushmeat,0
lac_tele,2018,5526,firewood,7
lac_tele,2018,5527,bushmeat,0
lac_tele,2018,5527,firewood,5
lac_tele,2018,5527,fish,0
lac_tele,2018,5527,marantacea,5
lac_tele,2018,5527,gnetum,6
lac_tele,2018,5528,gnetum,4
lac_tele,2018,5528,bushmeat,0
lac_tele,2018,5528,fish,6
lac_tele,2018,5528,firewood,7
lac_tele,2018,5528,marantacea,3
lac_tele,2018,5529,bushmeat,4
lac_tele,2018,5529,fish,4
lac_tele,2018,5529,firewood,3
lac_tele,2018,5529,marantacea,3
lac_tele,2018,5529,gnetum,4
lac_tele,2018,5530,gnetum,6
lac_tele,2018,5530,marantacea,0
lac_tele,2018,5530,fish,5
lac_tele,2018,5530,firewood,6
lac_tele,2018,5530,bushmeat,0
lac_tele,2018,5531,gnetum,5
lac_tele,2018,5531,bushmeat,0
lac_tele,2018,5531,firewood,5
lac_tele,2018,5531,fish,7
lac_tele,2018,5531,marantacea,3
lac_tele,2018,5532,bushmeat,0
lac_tele,2018,5532,gnetum,6
lac_tele,2018,5532,fish,7
lac_tele,2018,5532,firewood,6
lac_tele,2018,5532,marantacea,6
lac_tele,2018,5533,gnetum,6
