landscape,id,surveyyear,nr,nrcollect
ndoki,5321,2018,marantaceas,1
ndoki,5321,2018,liana,0
ndoki,5322,2018,bushmeat,0
ndoki,5322,2018,firewood,4
ndoki,5322,2018,gnetum,1
ndoki,5322,2018,marantaceas,1
ndoki,5322,2018,liana,0
ndoki,5323,2018,liana,0
ndoki,5323,2018,marantaceas,0
ndoki,5323,2018,firewood,3
ndoki,5323,2018,bushmeat,0
ndoki,5323,2018,gnetum,1
ndoki,5324,2018,gnetum,0
ndoki,5324,2018,firewood,2
ndoki,5324,2018,marantaceas,1
ndoki,5324,2018,liana,0
ndoki,5324,2018,bushmeat,0
ndoki,5325,2018,firewood,2
ndoki,5325,2018,bushmeat,1
ndoki,5325,2018,gnetum,7
ndoki,5325,2018,marantaceas,4
ndoki,5325,2018,liana,2
ndoki,5326,2018,liana,0
ndoki,5326,2018,gnetum,2
ndoki,5326,2018,bushmeat,0
ndoki,5326,2018,marantaceas,1
ndoki,5326,2018,firewood,1
ndoki,5327,2018,gnetum,7
ndoki,5327,2018,liana,0
ndoki,5327,2018,bushmeat,0
ndoki,5327,2018,marantaceas,7
ndoki,5327,2018,firewood,4
ndoki,5328,2018,marantaceas,1
ndoki,5328,2018,gnetum,2
ndoki,5328,2018,bushmeat,0
ndoki,5328,2018,firewood,5
ndoki,5328,2018,liana,0
ndoki,5329,2018,liana,0
ndoki,5329,2018,gnetum,0
ndoki,5329,2018,firewood,4
ndoki,5329,2018,bushmeat,0
ndoki,5329,2018,marantaceas,1
ndoki,5330,2018,bushmeat,0
ndoki,5330,2018,firewood,4
ndoki,5330,2018,marantaceas,3
ndoki,5330,2018,liana,2
ndoki,5330,2018,gnetum,5
ndoki,5331,2018,marantaceas,0
ndoki,5331,2018,gnetum,3
ndoki,5331,2018,firewood,1
ndoki,5331,2018,liana,0
ndoki,5331,2018,bushmeat,0
ndoki,5332,2018,gnetum,2
ndoki,5332,2018,liana,4
ndoki,5332,2018,firewood,3
ndoki,5332,2018,bushmeat,0
ndoki,5332,2018,marantaceas,1
ndoki,5333,2018,firewood,2
ndoki,5333,2018,bushmeat,0
ndoki,5333,2018,liana,1
ndoki,5333,2018,marantaceas,0
ndoki,5333,2018,gnetum,1
ndoki,5334,2018,bushmeat,0
ndoki,5334,2018,firewood,4
ndoki,5334,2018,liana,1
ndoki,5334,2018,marantaceas,2
ndoki,5334,2018,gnetum,5
ndoki,5335,2018,bushmeat,0
ndoki,5335,2018,gnetum,3
ndoki,5335,2018,liana,1
