landscape,surveyyear,id,gs,necessary,have,quantity,price
ndoki,2018,5207,hairdresser,1,0,0,null
ndoki,2018,5207,meal 2 day,1,1,0,null
ndoki,2018,5207,money school,1,0,0,null
ndoki,2018,5207,machete,1,1,5,null
ndoki,2018,5207,equipped pharmacy village,1,0,0,null
ndoki,2018,5207,freezer,0,0,0,null
ndoki,2018,5208,natural resources 1h,1,1,0,null
ndoki,2018,5208,gun,1,0,0,null
ndoki,2018,5208,table chairs,1,0,0,null
ndoki,2018,5208,tv,0,0,0,null
ndoki,2018,5208,protein once week,1,0,0,null
ndoki,2018,5208,brick house metal roof,0,0,0,null
ndoki,2018,5208,drinking water 15min,1,0,0,null
ndoki,2018,5208,sewing machine,0,0,0,null
ndoki,2018,5208,adult learning,1,0,0,null
ndoki,2018,5208,meal 2 day,1,1,0,null
ndoki,2018,5208,moto,0,0,0,null
ndoki,2018,5208,sport ground,0,1,0,null
ndoki,2018,5208,access employment,1,0,0,null
ndoki,2018,5208,lance,1,1,1,null
ndoki,2018,5208,sheep breeding,0,0,0,null
ndoki,2018,5208,money school,1,0,0,null
ndoki,2018,5208,freezer,0,0,0,null
ndoki,2018,5208,work without discrimination,1,0,0,null
ndoki,2018,5208,hairdresser,0,0,0,null
ndoki,2018,5208,generator,0,0,0,null
ndoki,2018,5208,women decision village,1,0,0,null
ndoki,2018,5208,jerrycan 25l,1,0,1,null
ndoki,2018,5208,fishing net,1,0,0,null
ndoki,2018,5208,pot,1,1,4,null
ndoki,2018,5208,new clothes,1,0,0,null
ndoki,2018,5208,equipped pharmacy village,1,0,0,null
ndoki,2018,5208,mosquito net,1,0,0,null
ndoki,2018,5208,bed and mattress,1,0,0,null
ndoki,2018,5208,machete,1,1,6,null
ndoki,2018,5208,canoe,1,0,0,null
ndoki,2018,5208,women care provided women,1,0,0,null
ndoki,2018,5208,jewelry,0,0,1,null
ndoki,2018,5208,hurricane lamp,1,0,0,null
ndoki,2018,5208,cookstove,0,0,0,null
ndoki,2018,5208,phone,0,0,0,null
ndoki,2018,5208,chicken,1,0,0,null
ndoki,2018,5208,field half ha,1,1,3,null
ndoki,2018,5209,lance,1,1,2,null
ndoki,2018,5209,mosquito net,1,1,1,null
ndoki,2018,5209,moto,0,0,0,null
ndoki,2018,5209,work without discrimination,1,0,0,null
ndoki,2018,5209,fishing net,0,0,0,null
ndoki,2018,5209,machete,1,1,2,null
ndoki,2018,5209,field half ha,1,1,3,null
ndoki,2018,5209,canoe,1,0,0,null
ndoki,2018,5209,hairdresser,0,0,0,null
ndoki,2018,5209,equipped pharmacy village,1,0,0,null
ndoki,2018,5209,phone,0,0,0,null
ndoki,2018,5209,pot,1,1,2,null
ndoki,2018,5209,table chairs,0,0,0,null
ndoki,2018,5209,sewing machine,0,0,0,null
ndoki,2018,5209,protein once week,1,1,0,null
ndoki,2018,5209,gun,0,0,0,null
ndoki,2018,5209,generator,0,0,0,null
ndoki,2018,5209,adult learning,1,0,0,null
ndoki,2018,5209,natural resources 1h,1,1,0,null
ndoki,2018,5209,cookstove,0,0,0,null
ndoki,2018,5209,jewelry,0,0,0,null
ndoki,2018,5209,women care provided women,1,0,0,null
ndoki,2018,5209,freezer,0,0,0,null
ndoki,2018,5209,access employment,1,0,0,null
ndoki,2018,5209,brick house metal roof,0,0,0,null
ndoki,2018,5209,new clothes,1,0,0,null
ndoki,2018,5209,tv,0,0,0,null
ndoki,2018,5209,jerrycan 25l,1,0,0,null
ndoki,2018,5209,hurricane lamp,1,0,2,null
ndoki,2018,5209,women decision village,1,1,0,null
ndoki,2018,5209,meal 2 day,1,1,0,null
ndoki,2018,5209,money school,1,0,0,null
ndoki,2018,5209,chicken,1,0,0,null
ndoki,2018,5209,sport ground,0,1,0,null
ndoki,2018,5209,drinking water 15min,1,0,0,null
ndoki,2018,5209,bed and mattress,1,0,0,null
ndoki,2018,5209,sheep breeding,0,0,0,null
ndoki,2018,5210,mosquito net,1,1,1,null
ndoki,2018,5210,sport ground,1,1,0,null
ndoki,2018,5210,women decision village,1,1,0,null
ndoki,2018,5210,equipped pharmacy village,1,0,0,null
ndoki,2018,5210,tv,0,0,0,null
ndoki,2018,5210,drinking water 15min,1,0,0,null
ndoki,2018,5210,adult learning,1,0,0,null
ndoki,2018,5210,generator,0,0,0,null
ndoki,2018,5210,hurricane lamp,1,1,1,null
ndoki,2018,5210,brick house metal roof,0,0,0,null
ndoki,2018,5210,chicken,1,0,0,null
ndoki,2018,5210,fishing net,1,1,1,null
ndoki,2018,5210,access employment,0,0,0,null
ndoki,2018,5210,hairdresser,0,0,0,null
ndoki,2018,5210,meal 2 day,1,1,0,null
ndoki,2018,5210,women care provided women,1,1,0,null
ndoki,2018,5210,bed and mattress,1,0,0,null
ndoki,2018,5210,sheep breeding,1,0,0,null
ndoki,2018,5210,natural resources 1h,1,0,0,null
ndoki,2018,5210,cookstove,0,0,0,null
ndoki,2018,5210,canoe,1,0,0,null
ndoki,2018,5210,machete,1,1,2,null
ndoki,2018,5210,field half ha,1,1,2,null
ndoki,2018,5210,phone,0,0,0,null
ndoki,2018,5210,work without discrimination,1,0,0,null
ndoki,2018,5210,lance,1,1,1,null
ndoki,2018,5210,new clothes,1,0,0,null
ndoki,2018,5210,sewing machine,0,0,0,null
ndoki,2018,5210,pot,1,1,2,null
ndoki,2018,5210,gun,1,0,0,null
ndoki,2018,5210,protein once week,1,0,0,null
ndoki,2018,5210,jerrycan 25l,1,1,1,null
ndoki,2018,5210,freezer,0,0,0,null
ndoki,2018,5210,money school,1,0,0,null
ndoki,2018,5210,jewelry,1,1,0,null
ndoki,2018,5210,moto,0,0,0,null
ndoki,2018,5210,table chairs,0,0,0,null
ndoki,2018,5211,natural resources 1h,1,1,0,null
ndoki,2018,5211,tv,0,0,0,null
ndoki,2018,5211,pot,1,1,9,null
ndoki,2018,5211,lance,1,1,6,null
ndoki,2018,5211,equipped pharmacy village,1,0,0,null
ndoki,2018,5211,access employment,1,0,0,null
ndoki,2018,5211,cookstove,0,0,0,null
ndoki,2018,5211,hairdresser,1,0,0,null
ndoki,2018,5211,machete,1,1,6,null
ndoki,2018,5211,sewing machine,0,0,0,null
ndoki,2018,5211,jewelry,1,1,2,null
ndoki,2018,5211,field half ha,1,1,5,null
ndoki,2018,5211,brick house metal roof,0,0,0,null
ndoki,2018,5211,work without discrimination,1,1,0,null
ndoki,2018,5211,mosquito net,1,1,5,null
ndoki,2018,5211,bed and mattress,1,1,3,null
ndoki,2018,5211,freezer,0,0,0,null
ndoki,2018,5211,chicken,1,1,20,null
ndoki,2018,5211,canoe,1,1,2,null
ndoki,2018,5211,hurricane lamp,1,1,3,null
ndoki,2018,5211,jerrycan 25l,1,1,6,null
ndoki,2018,5211,women care provided women,1,0,0,null
ndoki,2018,5211,generator,1,0,0,null
ndoki,2018,5211,phone,0,0,0,null
ndoki,2018,5211,table chairs,1,0,0,null
ndoki,2018,5211,new clothes,1,1,0,null
ndoki,2018,5211,adult learning,1,0,0,null
ndoki,2018,5211,protein once week,1,1,0,null
ndoki,2018,5211,gun,1,0,0,null
ndoki,2018,5211,sheep breeding,1,0,0,null
ndoki,2018,5211,fishing net,1,0,0,null
ndoki,2018,5211,sport ground,1,1,0,null
ndoki,2018,5211,women decision village,1,1,0,null
ndoki,2018,5211,drinking water 15min,1,0,0,null
ndoki,2018,5211,meal 2 day,1,1,0,null
ndoki,2018,5211,money school,1,1,0,null
ndoki,2018,5211,moto,0,0,0,null
ndoki,2018,5212,jewelry,0,0,0,null
ndoki,2018,5212,drinking water 15min,0,1,0,null
ndoki,2018,5212,freezer,0,0,0,null
ndoki,2018,5212,lance,1,1,1,null
ndoki,2018,5212,sewing machine,0,0,0,null
ndoki,2018,5212,sheep breeding,1,1,1,null
ndoki,2018,5212,access employment,1,0,0,null
ndoki,2018,5212,protein once week,1,1,0,null
ndoki,2018,5212,new clothes,1,0,0,null
ndoki,2018,5212,phone,0,0,0,null
ndoki,2018,5212,fishing net,1,1,5,null
ndoki,2018,5212,natural resources 1h,1,1,0,null
ndoki,2018,5212,moto,0,0,0,null
ndoki,2018,5212,meal 2 day,1,1,0,null
ndoki,2018,5212,women care provided women,1,1,0,null
ndoki,2018,5212,pot,1,1,5,null
ndoki,2018,5212,hairdresser,0,0,0,null
ndoki,2018,5212,brick house metal roof,1,0,0,null
ndoki,2018,5212,women decision village,1,1,0,null
ndoki,2018,5212,field half ha,1,1,2,null
ndoki,2018,5212,mosquito net,1,1,3,null
ndoki,2018,5212,bed and mattress,1,1,1,null
ndoki,2018,5212,generator,1,0,0,null
ndoki,2018,5212,gun,1,1,1,null
ndoki,2018,5212,hurricane lamp,1,1,2,null
ndoki,2018,5212,adult learning,1,0,0,null
ndoki,2018,5212,table chairs,1,1,1,null
ndoki,2018,5212,tv,0,0,0,null
ndoki,2018,5212,work without discrimination,1,1,0,null
ndoki,2018,5212,equipped pharmacy village,1,0,0,null
ndoki,2018,5212,cookstove,0,0,0,null
ndoki,2018,5212,money school,1,1,0,null
ndoki,2018,5212,canoe,1,1,1,null
ndoki,2018,5212,jerrycan 25l,1,1,5,null
ndoki,2018,5212,chicken,1,1,10,null
ndoki,2018,5212,machete,1,1,2,null
ndoki,2018,5212,sport ground,1,1,0,null
ndoki,2018,5213,money school,1,1,0,null
ndoki,2018,5213,jerrycan 25l,1,1,8,null
ndoki,2018,5213,field half ha,1,1,5,null
ndoki,2018,5213,work without discrimination,1,1,0,null
ndoki,2018,5213,chicken,1,0,0,null
ndoki,2018,5213,hurricane lamp,1,1,5,null
ndoki,2018,5213,mosquito net,1,1,5,null
ndoki,2018,5213,machete,1,1,15,null
ndoki,2018,5213,lance,1,1,3,null
ndoki,2018,5213,equipped pharmacy village,1,1,0,null
ndoki,2018,5213,freezer,1,0,0,null
ndoki,2018,5213,phone,1,1,4,null
ndoki,2018,5213,generator,1,1,1,null
ndoki,2018,5213,women care provided women,1,1,0,null
ndoki,2018,5213,meal 2 day,1,1,0,null
ndoki,2018,5213,women decision village,1,0,0,null
ndoki,2018,5213,fishing net,1,1,5,null
ndoki,2018,5213,gun,1,1,2,null
ndoki,2018,5213,table chairs,1,1,2,null
ndoki,2018,5213,new clothes,1,1,0,null
ndoki,2018,5213,access employment,1,0,0,null
ndoki,2018,5213,canoe,1,1,5,null
ndoki,2018,5213,jewelry,1,1,3,null
ndoki,2018,5213,tv,1,1,2,null
ndoki,2018,5213,sheep breeding,1,0,0,null
ndoki,2018,5213,hairdresser,0,0,0,null
ndoki,2018,5213,sport ground,1,1,0,null
ndoki,2018,5213,cookstove,1,1,2,null
ndoki,2018,5213,pot,1,1,7,null
ndoki,2018,5213,drinking water 15min,1,0,0,null
ndoki,2018,5213,bed and mattress,1,1,5,null
ndoki,2018,5213,brick house metal roof,0,0,0,null
ndoki,2018,5213,natural resources 1h,1,0,0,null
ndoki,2018,5213,sewing machine,0,0,0,null
ndoki,2018,5213,moto,1,1,1,null
ndoki,2018,5213,adult learning,1,1,0,null
ndoki,2018,5213,protein once week,1,1,0,null
ndoki,2018,5214,women care provided women,1,0,0,null
ndoki,2018,5214,money school,1,1,0,null
ndoki,2018,5214,mosquito net,1,1,4,null
ndoki,2018,5214,new clothes,1,0,0,null
ndoki,2018,5214,jerrycan 25l,1,1,6,null
ndoki,2018,5214,generator,1,0,0,null
ndoki,2018,5214,natural resources 1h,1,0,0,null
ndoki,2018,5214,sport ground,1,1,1,null
ndoki,2018,5214,field half ha,1,1,3,null
ndoki,2018,5214,pot,1,1,8,null
ndoki,2018,5214,adult learning,1,0,0,null
ndoki,2018,5214,work without discrimination,1,1,0,null
ndoki,2018,5214,equipped pharmacy village,1,0,0,null
ndoki,2018,5214,fishing net,1,1,5,null
ndoki,2018,5214,canoe,1,1,1,null
